,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
40,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,18.5108583247,5.0,-5.0,12747,0.988467874794,10.0,-1.0,12747
41,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,16.1384976526,5.0,-5.0,12067,1.09389243391,10.0,-2.0,12067
42,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,16.5557035064,5.0,-6.0,13651,0.83510365541,10.0,-2.0,13651
43,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,19.0207156309,5.0,-5.0,2701,1.51795631248,10.0,-1.0,2701
44,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,17.3782416192,5.0,-5.0,6415,1.40318054256,10.0,-1.0,6414
45,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,20.4017151884,5.0,-3.0,4501,1.51111111111,10.0,-2.0,4500
46,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,16.3929197895,4.0,-5.0,6382,1.58332026963,9.0,-2.0,6379
47,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,19.1022874407,5.0,-3.0,11681,0.736301369863,9.0,0.0,11680
48,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,19.347644271,4.0,-2.0,10848,0.746750253526,8.0,0.0,10847
49,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,18.3443388629,4.0,-4.0,6286,1.01845957989,9.0,-1.0,6284
